NCBI UID,Ensembl ID
80350,ENSG00000290613
81282,ENSG00000176893
6289,ENSG00000134339
8313,ENSG00000168646
752,ENSG00000184922
2629,ENSG00000177628
91010,ENSG00000161791
1890,ENSG00000025708
63935,ENSG00000100982
150372,ENSG00000235568
113829,ENSG00000176087
134637,ENSG00000189007
4718,ENSG00000151366
80196,ENSG00000170633
84536,ENSG00000183250
6873,ENSG00000064313
594,ENSG00000083123
219958,ENSG00000197887
30834,ENSG00000066379
29919,ENSG00000141452
30008,ENSG00000172638
9235,ENSG00000008517
1058,ENSG00000115163
390664,ENSG00000184471
253980,ENSG00000174943
374618,ENSG00000151575
131177,ENSG00000198643
128866,ENSG00000101421
6619,ENSG00000164975
54915,ENSG00000149658
152273,ENSG00000154783
9651,ENSG00000149527
22995,ENSG00000103995
26509,ENSG00000138119
100131827,ENSG00000227124
10857,ENSG00000101856
374872,ENSG00000188305
125113,ENSG00000213424
79003,ENSG00000167842
51669,ENSG00000133872
3965,ENSG00000168961
9463,ENSG00000100151
347862,ENSG00000177225
144124,ENSG00000166363
3159,ENSG00000137309
84152,ENSG00000131771
388650,ENSG00000154511
5433,ENSG00000144231
7364,ENSG00000171234
343263,ENSG00000221986
55454,ENSG00000169826
27074,ENSG00000078081
7156,ENSG00000177302
64121,ENSG00000116954
6084,ENSG00000201098
169693,ENSG00000181778
55666,ENSG00000182446
27246,ENSG00000265491
100287898,ENSG00000215912
5601,ENSG00000050748
619505,ENSG00000199293
222584,ENSG00000168143
7532,ENSG00000170027
2040,ENSG00000148175
100033433,ENSG00000275127
3192,ENSG00000153187
11340,ENSG00000120699
57555,ENSG00000169992
286826,ENSG00000183814
25949,ENSG00000117614
119180,ENSG00000151033
5265,ENSG00000197249
221301,ENSG00000164451
11172,ENSG00000120210
729440,ENSG00000104983
4185,ENSG00000073670
64777,ENSG00000145916
400581,ENSG00000189152
51490,ENSG00000198917
7700,ENSG00000131127
309,ENSG00000197043
2272,ENSG00000189283
8748,ENSG00000134007
55030,ENSG00000178974
2888,ENSG00000115290
23276,ENSG00000114648
6414,ENSG00000250722
84951,ENSG00000131746
79800,ENSG00000138380
3166,ENSG00000215612
10266,ENSG00000131477
4343,ENSG00000155363
5291,ENSG00000051382
11186,ENSG00000068028
440097,ENSG00000185610
10054,ENSG00000126261
4171,ENSG00000073111
10868,ENSG00000136878
6626,ENSG00000077312
139741,ENSG00000123165
64783,ENSG00000162775
2286,ENSG00000173486
3354,ENSG00000168830
441521,ENSG00000228836
10430,ENSG00000105677
4515,ENSG00000214827
114801,ENSG00000164484
51000,ENSG00000124786
7390,ENSG00000188690
6242,ENSG00000114993
23420,ENSG00000103512
29926,ENSG00000144591
3730,ENSG00000011201
26152,ENSG00000130684
799,ENSG00000004948
51232,ENSG00000150938
9804,ENSG00000173726
23612,ENSG00000174307
360227,ENSG00000118976
55692,ENSG00000007392
3502,ENSG00000211897
9038,ENSG00000135569
50,ENSG00000100412
81847,ENSG00000118518
10602,ENSG00000163171
53905,ENSG00000137857
1609,ENSG00000145214
387082,ENSG00000177688
57599,ENSG00000114742
374875,ENSG00000167733
84969,ENSG00000124191
79004,ENSG00000107874
9464,ENSG00000164107
79838,ENSG00000103534
9656,ENSG00000137337
22992,ENSG00000173120
8784,ENSG00000186891
128439,ENSG00000174365
4975,ENSG00000254550
4149,ENSG00000125952
10850,ENSG00000213927
79652,ENSG00000131634
29122,ENSG00000283706
30833,ENSG00000125458
23418,ENSG00000134376
51804,ENSG00000100625
3708,ENSG00000150995
9232,ENSG00000164611
441519,ENSG00000269096
127829,ENSG00000143862
155435,ENSG00000184863
128861,ENSG00000131059
199223,ENSG00000168026
113220,ENSG00000136883
83714,ENSG00000053702
59067,ENSG00000138684
6048,ENSG00000204308
285237,ENSG00000179021
6874,ENSG00000130699
593,ENSG00000248098
54778,ENSG00000157450
81285,ENSG00000167332
8314,ENSG00000163930
115123,ENSG00000173926
755,ENSG00000160226
339416,ENSG00000183831
126133,ENSG00000161618
63932,ENSG00000018610
677770,ENSG00000249784
1299,ENSG00000092758
57109,ENSG00000148300
5639,ENSG00000126460
138009,ENSG00000176566
497661,ENSG00000177576
343069,ENSG00000179172
254158,ENSG00000165182
567,ENSG00000166710
6880,ENSG00000273841
64925,ENSG00000177352
85417,ENSG00000147082
118856,ENSG00000154485
203069,ENSG00000104679
692088,ENSG00000275072
58525,ENSG00000011451
2844,ENSG00000188394
29780,ENSG00000188677
3996,ENSG00000131899
103,ENSG00000160710
2078,ENSG00000157554
8542,ENSG00000100342
7738,ENSG00000096654
331,ENSG00000101966
55008,ENSG00000138642
3398,ENSG00000115738
10098,ENSG00000168785
221937,ENSG00000164916
94101,ENSG00000128699
55695,ENSG00000130305
10605,ENSG00000172239
4720,ENSG00000158864
10437,ENSG00000216490
1060,ENSG00000145241
4512,ENSG00000198804
139322,ENSG00000155008
219960,ENSG00000180475
26155,ENSG00000188976
3737,ENSG00000177301
27087,ENSG00000109956
54575,ENSG00000242515
83941,ENSG00000162604
11181,ENSG00000118094
5898,ENSG00000006451
57794,ENSG00000105705
10053,ENSG00000129354
1404,ENSG00000145681
4176,ENSG00000166508
23043,ENSG00000154310
64784,ENSG00000140577
6621,ENSG00000165684
157739,ENSG00000154316
51463,ENSG00000188092
2281,ENSG00000119782
9669,ENSG00000158417
23271,ENSG00000118200
51651,ENSG00000141378
3161,ENSG00000072571
79807,ENSG00000138780
56474,ENSG00000047230
1636,ENSG00000159640
100131211,ENSG00000189362
10261,ENSG00000140749
149603,ENSG00000168159
5296,ENSG00000105647
729447,ENSG00000189064
221908,ENSG00000160813
5050,ENSG00000079462
64770,ENSG00000175455
641649,ENSG00000142046
7707,ENSG00000163848
51497,ENSG00000101158
2275,ENSG00000183386
55037,ENSG00000132300
900,ENSG00000113328
401666,ENSG00000205497
23285,
7535,ENSG00000115085
2047,ENSG00000154928
132954,ENSG00000163440
3195,ENSG00000107807
55205,ENSG00000074657
93129,ENSG00000175938
123228,ENSG00000166192
10295,ENSG00000103507
57552,ENSG00000144959
8925,ENSG00000103657
6083,ENSG00000206680
55661,ENSG00000124228
27241,ENSG00000122507
558,ENSG00000167601
342184,ENSG00000248905
57136,ENSG00000101474
112937,ENSG00000166105
5606,ENSG00000034152
440400,ENSG00000219200
100130561,ENSG00000213707
345193,ENSG00000183423
5434,ENSG00000099817
79699,ENSG00000162378
7363,ENSG00000156096
54581,ENSG00000176700
3763,ENSG00000157542
54521,ENSG00000131725
51053,ENSG00000112312
65266,ENSG00000126562
79639,ENSG00000126106
23473,ENSG00000131375
1808,ENSG00000092964
112399,ENSG00000129521
5494,ENSG00000100614
10463,ENSG00000014824
149233,ENSG00000162594
4774,ENSG00000162599
10651,ENSG00000128654
26333,ENSG00000185385
3551,ENSG00000104365
2483,ENSG00000109536
60526,ENSG00000118961
8985,ENSG00000106397
23641,ENSG00000182195
9857,ENSG00000135837
6023,ENSG00000277027
10235,ENSG00000068831
1662,ENSG00000178105
100169758,ENSG00000202521
79853,ENSG00000168955
3135,ENSG00000204632
23225,ENSG00000132182
6447,ENSG00000166922
3909,ENSG00000053747
51605,ENSG00000089195
400714,
84902,ENSG00000121289
60370,ENSG00000119986
54145,ENSG00000234289
54979,ENSG00000133328
6675,ENSG00000117143
23017,ENSG00000135472
4122,ENSG00000196547
149465,ENSG00000243710
345557,ENSG00000182836
10007,ENSG00000113552
5236,ENSG00000079739
11313,ENSG00000011009
57506,ENSG00000088888
2013,ENSG00000213853
55251,ENSG00000203880
8529,ENSG00000186115
954,ENSG00000054179
7561,ENSG00000105708
768211,ENSG00000181826
27443,ENSG00000099954
2221,
153339,ENSG00000174695
55063,ENSG00000078487
50511,ENSG00000139351
7753,ENSG00000166261
80758,ENSG00000131188
123872,ENSG00000154099
5004,ENSG00000229314
3797,ENSG00000084731
2645,ENSG00000106633
7337,ENSG00000114062
221504,ENSG00000213588
5460,ENSG00000204531
341567,ENSG00000187166
10497,ENSG00000198722
25770,ENSG00000100249
5652,ENSG00000052344
4780,ENSG00000116044
57162,ENSG00000197329
55635,ENSG00000024526
392399,ENSG00000148386
7105,ENSG00000000003
51295,ENSG00000130159
8971,ENSG00000184897
64172,ENSG00000128694
131540,ENSG00000163958
10804,ENSG00000121742
4921,ENSG00000162733
337974,ENSG00000244362
116362,ENSG00000162444
10038,ENSG00000129484
391,ENSG00000177105
84333,ENSG00000180628
3338,ENSG00000110011
54946,ENSG00000114544
23028,ENSG00000004487
55894,ENSG00000177243
7798,ENSG00000169641
